http://twitter.com/6TownsMart/statuses/718525915534331904	@Thirsty_Pilgrim 5mins S-Bahn to Hauptbahnhof Joe, that was an excellent recommendation	true	neutral	Allgemein#Haupt:neutral
http://twitter.com/Velomotion\_App/statuses/682564767081435137	Mark Cavendish feiert beim Worldcup in Hongkong am 16. Januar sein Comeback auf der Bahn. https://t.co/4XMWBHcr9p	false	neutral
http://twitter.com/Klimaatcombi/statuses/733190664402415616	@Agent_mob @bahnONLINEch Und so kann die Bahn ständig erneuert werden.	true	neutral	Allgemein#Haupt:neutral
http://www.finanznachrichten.de/nachrichten-2016-01/36122879-dobrindt-will-bahn-fahren-attraktiver-machen-die-bundesregierung-will-mehr-wettbewerb-auf-der-schiene-198.htm	Dobrindt will Bahn fahren attraktiver machen: Die Bundesregierung will mehr Wettbewerb auf der Schiene ... 13.01.2016 | 11:07 WirtschaftsWoche Online · WirtschaftsWoche Online Die Bundesregierung will mehr Wettbewerb auf der Schiene und so Bahn fahren attraktiver machen. Ein Gesetzesentwurf von Verkehrsminister Dobrindt trifft die Deutsche Bahn an einer	true	neutral	Allgemein#Haupt:neutral
http://www.stimme.de/deutschland-welt/newsticker/Tarife-Bahn-Bahn-Streik-beendet\;art305,3379065	Bahn-Streik beendet Bahn-Streik beendet Die Lokführergewerkschaft GDL hat sich mit der Deutschen Bahn überraschend auf eine Schlichtung geeinigt und beendet ihren neunten Streik bei dem Konzern noch vor Pfingsten. Die streikenden GDL-Lokführer werden sich laut Gewerks	true	neutral	Allgemein#Haupt:positive Allgemein#Haupt:positive Allgemein#Haupt:positive Allgemein#Haupt:negative Service_und_Kundenbetreuung#Zugbetreuung:neutral
http://www.facebook.com/129349103260/posts/10152957223388261?comment\_id=10152958340128261#129349103260\_10152957223388261\_10152958340128261	Re: stuttgarter-zeitung.de fahrgemeinschaften bilden, mitfahrzentrale.de, fernbusse - meine güte, ich bin vor zwanzig janren jedes wochenende mit der mitfahrzentrale von stuttgart nach bonn gefahren, schlicht und ergreifend, weil mir zugfahren zu teuer war! wenn man von a nach b will, kommt man da hin - man muss halt in ausnahmesituationen auch mal bereit sein, die komfortzone zu verlassen und damit leben, dass man sich auch mal anstrengen muss!	true	negative	Ticketkauf#Haupt:negative
http://twitter.com/TheDravn/statuses/660646759190917120	@trivialerweise Das ist es nie... Und wenn es noch irgendwo in der Bahn drin ist, riecht das ja auch noch sehr lecker... Manche können sich	true	neutral	Allgemein#Haupt:neutral
http://twitter.com/newsjules/statuses/639692490967252993	@DB_Bahn Habe ich gemerkt. Jetzt in der zweiten Fuhre passe ich jetzt auch in den Minibus ;-)	true	neutral	Allgemein#Haupt:neutral
http://twitter.com/GoldmanS\_Sux/statuses/674736389548806148	#Flüchtlinge Polizei fahndet nach dreister S-Bahn-Bande im Ruhrgebiet https://t.co/tVToNmfhc6 Als BELOHNUNG kriegen sie dann Asyl LOL	true	neutral	Allgemein#Haupt:neutral
https://www.instagram.com/p/BD8kcRjphhK/	Re: lichtbild_u.schneider #Thale Richtung Bahnhof und Bodetal #thale #heimat #bahn #schrankenhaus #gleise #hexentanzplatz #rosstrappe	true	neutral	Allgemein#Haupt:neutral
